id,timesig
40j8iS1ClIh73xUFrvdEJg,4
41aob5c3jiEpOl5IPJ7Xd2,4
43ta15kmDRuUvpRL6lpHsy,4
43xRMARR0NcTbuTEbRjm4I,1
44J1CFMxIyTPlevcDghAsk,3
46JY9OYPi4hJ7oLIS0FZt0,4
4D7ECbHkFqiBGifeAIb1at,4
4G2aGGlJfKjXoaQSsdoVEy,3
4HDguZ5btEwwmBrzNtDz7z,4
4HYmmG8uHL2hP4zSFWavKF,4
4HsM025MRTDfhvpPPOSqaN,4
4L2HdjUaOAxF6JGp0Jvp3S,5
4Lb0u3JwC4EWQXugQKGphZ,4
4MsVQL9djtpPsMM0tqtqzg,4
4NRMFGQeSVY2m4qNLrwVPV,4
4RDT3ftT3V0IJVmW0TNgof,4
4ZtNSgwk3ErgdrhpNXokHx,4
4d7IwbmhNmY2gQBtaYnTZ7,5
4dJ7WmMZgP2r91Gva8Ejbs,4
4ekpJ0IXeZHDNxUqhJluJQ,4
4f9JFM9WYnaLgKOX2GXbLt,4
4fGLehaLo7wfTZiCpb7C4q,5
4jFsBM3wEzUXd9k8H4CL2A,4
4jyti77pNe75LOwLVSYHb4,4
4kQxqLAtWzMrThDHBwV8q1,4
4lDjkpUrpWlMFofIpzuExK,4
4lUstBcJNTsSZrqgJoPPUI,3
4pWy7AYFfXU6XgbZmtrz0n,4
4qHVjzBNc4CB2jM5uizth7,4
4r8pgW9PoHVhyTG4bCYpzc,4
4rrCPXC7Res1Fhx3v5phcx,4
4rwfJITgPxy8cvkqXtMLHY,4
4xVbS0WgPBmA89o6T9gV0G,4
4yQu4WbamHMMBuAg3z8qy2,4
50k3rGrtZGw9nw7FQ1n3Yv,4
51NKrVfrZWMxsXZho6OcMf,3
57JZ4n54HjudI1Bzpx2cWR,4
59YfBYbu3UlY9kTzFGCcC8,5
5CMLMZ18hkm3QgDFzJdlTN,4
5DUWF93gAZ7cJfS3jjg6d7,4
5Dh1E4kXDwXwVfChsExG3G,4
5DihlLenQJhJXGJhbtiTrM,3
